RBM35A	unmapped-none
RBM35B	unmapped-none
FLJ10081	unmapped-none
BTBD5	unmapped-none
MTERF	unmapped-none
BRWD2	unmapped-none
MDS1	unmapped-none
FALZ	unmapped-none
C20ORF6	unmapped-none
C20ORF4	unmapped-none
C20ORF3	unmapped-none
RP1-153G14.3	unmapped-none
CD33L3	unmapped-none
C13ORF7	unmapped-none
C20ORF91	unmapped-none
LOC653471	unmapped-none
GBL	unmapped-none
C7ORF28A	unmapped-none
FLJ13769	unmapped-none
CUTL1	unmapped-none
CUTL2	unmapped-none
NELF	unmapped-none
MGC14376	unmapped-none
SCN2A2	unmapped-none
MGC4093	unmapped-none
HSU79275	unmapped-none
PPGB	unmapped-none
DKFZP761N09121	unmapped-none
RPL23AP13	unmapped-none
ENSG00000279723	unmapped-none
RAI17	unmapped-none
DCAMKL1	unmapped-none
DCAMKL2	unmapped-none
RAI16	unmapped-none
ENSG00000279941	unmapped-none
MGC5139	unmapped-none
XTP3TPA	unmapped-none
PRO1621	unmapped-none
WHDC1L1	unmapped-none
LOC645927	unmapped-none
DKFZP547G183	unmapped-none
NEF3	unmapped-none
FAM108A1	unmapped-none
SDHAL1	unmapped-none
IPF1	unmapped-none
LOC399904	unmapped-none
FLJ12118	unmapped-none
