ENSG00000103591	AAGAB
ENSG00000115977	AAK1
ENSG00000256069	A2MP1
ENSG00000175899	A2M
ENSG00000148584	A1CF
ENSG00000118017	A4GNT
ENSG00000081760	AACS
ENSG00000129673	AANAT
ENSG00000114771	AADAC
ENSG00000094914	AAAS
ENSG00000166535	A2ML1
ENSG00000121410	A1BG
ENSG00000127837	AAMP
ENSG00000128274	A4GALT
